nama_premis,alamat,nama_jalan,bandar,daerah,negeri,poskod,jenis_urus_niaga,pdl_pp_tkh_kuatkuasa_hingga
GUARDIAN HEALTH AND BEAUTY SDN BHD [GUARDIAN],"Basement Floor, Unit No. B-29 & B-30, Imago Shopping Mall, KK Times Square Phase 2",Jalan  Coastal,Kota Kinabalu,Kota Kinabalu,Sabah,88000,Runcit,2020/12/31 00:00:00.000
Guardian Health and Beauty Sdn Bhd [Guardian],"Lot G 31, Tingkat Bawah KB Mall",Jalan Hamzah,Kota Bharu,Kota Bharu,Kelantan,15050,Runcit,2020/12/31 00:00:00.000
GUARDIAN HEALTH AND BEAUTY SDN. BHD [GUARDIAN PHARMACY],"G32, Tingkat Bawah","Alamanda Putrajaya Shopping Centre, Jalan Alamanda",Putrajaya,Putrajaya,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,62000,Runcit,2020/12/31 00:00:00.000
Guardian Health and Beauty Sdn. Bhd.,"TB 14999, G 17, Giant Hypermarket Tawau, KM 5.5, Off Jalan Apas",Jalan Chong Thien Vui,Tawau,Tawau,Sabah,91000,Runcit,2020/12/31 00:00:00.000
Guardian Health And Beauty Sdn. Bhd.,40 & 42,Jalan Tun Perak,Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,50050,Runcit,2020/12/31 00:00:00.000
Guardian Health And Beauty Sdn. Bhd.,"Lot M2-02 & M2-03, Level 2, Johor Bahru City Square, 106-108,",Jalan Wong Ah Fook,Johor Bahru,Johor Bahru,Johor,80000,Runcit,2020/12/31 00:00:00.000
Guardian Health And Beauty Sdn. Bhd.,No. 22,Jalan Niaga 1,Kota Tinggi,Kota Tinggi,Johor,81900,Runcit,2020/12/31 00:00:00.000
Guardian Health And Beauty Sdn. Bhd.,"37, 37-1 & 37-2",Jalan Rahmat,Batu Pahat,Batu Pahat,Johor,83000,Runcit,2020/12/31 00:00:00.000
Guardian Health And Beauty Sdn. Bhd.,"TB330A & 330B, Gr Flr, Lot 1, Block 42, Fajar Complex",Jalan Merdeka 2,Tawau,Tawau,Sabah,91000,Runcit,2020/12/31 00:00:00.000
Guardian Health And Beauty Sdn. Bhd.,"LOT No. R43, Giant Hypermarket Plentong",Jalan Masai Lama,Masai,Johor Bahru,Johor,81750,Runcit,2020/12/31 00:00:00.000
Guardian Health And Beauty Sdn. Bhd.,"GF-16 & 17,Paradigm Mall Johor Bahru",Jalan Skudai,Tampoi,Johor Bahru,Johor,81200,Runcit,2020/12/31 00:00:00.000
GUARDIAN HEALTH AND BEAUTY SDN. BHD.,"LOT C-21B, CONCOURSE AREA","Suria KLCC, Kuala Lumpur City Centre",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,50088,Runcit,2020/12/31 00:00:00.000
GUARDIAN HEALTH AND BEAUTY SDN. BHD. [GUARDIAN ],G25&G26 ground floor,"Village Mall, Jalan Lagenda 1, Lagenda Heights",Sungai Petani,Kuala Muda,Kedah,08000,Runcit,2020/12/31 00:00:00.000
Guardian Health and Beauty Sdn. Bhd. [Guardian Pharmacy],"F04, Tingkat 1,","Jusco Alpha Angle Shopping Centre, Jalan R1, Seksyen 1, Bandar Baru Wangsa Maju",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,53300,Runcit,2020/12/31 00:00:00.000
Guardian Health And Beauty Sdn. Bhd. [Guardian Pharmacy],1-1-17 & 1-1-18 E-GATE,Lebuh Tunku Kudin 2,Gelugor,Timur Laut,Pulau Pinang,11700,Runcit,2020/12/31 00:00:00.000
GUARDIAN HEALTH AND BEAUTY SDN. BHD. [GUARDIAN],"Lot G34,G35,G38 & G39, Giant Superstore Nilai, PT 6367","Jalan Bbn 3/1, Putra Nilai",Nilai,Seremban,Negeri Sembilan,71800,Runcit,2020/12/31 00:00:00.000
GUARDIAN HEALTH AND BEAUTY SDN. BHD. [GUARDIAN],"NO 37,37-1,37-2",Jalan Rahmat,Batu Pahat,Batu Pahat,Johor,83000,Runcit,2020/12/31 00:00:00.000
GUARDIAN HEALTH AND BEAUTY SDN. BHD. [GUARDIAN],NO 10 & 11,Jalan Dato' Sheikh Ahmad,Seremban,Seremban,Negeri Sembilan,70000,Runcit,2020/12/31 00:00:00.000
GUARDIAN HEALTH AND BEAUTY SDN. BHD. [GUARDIAN],"Lot No. 14G, Ground Floor","Jalan S2 B18, Biz Avenue, Seremban 2",Seremban,Seremban,Negeri Sembilan,70300,Runcit,2020/12/31 00:00:00.000
GUARDIAN HEALTH AND BEAUTY SDN. BHD. [GUARDIAN],"Lot No B12-B14, Giant Hypermarket Senawang, Lot 1571",Jalan Bandar Senawang,Seremban,Seremban,Negeri Sembilan,70450,Runcit,2020/12/31 00:00:00.000
GUARDIAN HEALTH AND BEAUTY SDN. BHD. [GUARDIAN],"Lot No. 4, Ground Floor, Gerbang Seremban",Jalan Sungai Ujong,Seremban,Seremban,Negeri Sembilan,70200,Runcit,2020/12/31 00:00:00.000
Guardian Health and Beauty Sdn.Bhd.,"G35-G37, Ground Floor, Central Square Complex, 23",Jalan Kampung Baru,Sungai Petani,Kuala Muda,Kedah,08000,Runcit,2020/12/31 00:00:00.000
Guardian Pharmacy [Guardian],"Giant Superstore City Mall, City Mall (CL015011266), Luyang",Jalan Lintas,Kota Kinabalu,Kota Kinabalu,Sabah,88300,Runcit,2020/12/31 00:00:00.000
GUNUNG RAPAT PHARMACY SDN BHD (HTM Pharmacy),43 & 43A,"Selasar Rokam 11, Taman Ipoh Jaya",Ipoh,Kinta,Perak,31350,Runcit,2020/12/31 00:00:00.000
GURUN PHARMACY SDN. BHD. [FARMASI GURUN],89F,Jalan Raya,Gurun,Kuala Muda,Kedah,08300,Runcit,2020/12/31 00:00:00.000
H & H PHARMACY [HH PHARMACY],NO. 29,"Jalan Bukit Minyak 2, Taman Bukit Minyak",Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang,14000,Runcit,2020/12/31 00:00:00.000
H & H WELLNESS SDN BHD [H & H PHARMACY],9-1,"Jalan Dua, (Melalui Jalan Chan Sow Lin)",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,55200,Runcit,2020/12/31 00:00:00.000
H D H Resources [Farmasi Elveena],No. 74 Ground Floor,"Jalan SPU1, Bandar Saujana Putra",Jenjarom,Kuala Langat,Selangor,42610,Borong & Runcit,2020/12/31 00:00:00.000
H-POINT PHARMACY SDN BHD,"No.26, 28 & 30",Jalan Leong Sin Nam,Ipoh,Kinta,Perak,30300,Borong & Runcit,2020/12/31 00:00:00.000
HAIZ RESOURCES SDN BHD [FARMASI HANIZ],"No 33 (Bawah), Pusat Komersial Bukit Residen",Jalan Bukit Residen,Kuala Lipis,Lipis,Pahang,27200,Runcit,2020/12/31 00:00:00.000
Haiz Resources Sdn Bhd [Farmasi Haniz],Lot A-20-G,Jalan Reef Rawang 1/1 Pusat Perniagaan Rawang,Rawang,Gombak,Selangor,48000,Runcit,2020/12/31 00:00:00.000
Han's Pharmacy Sdn Bhd [Han's Pharmacy],No 12A-G & 16-G,"Jalan Usahawan 2, Pusat Perniagaan Kepala batas",Kepala Batas,Seberang Perai Utara,Pulau Pinang,13200,Borong & Runcit,2020/12/31 00:00:00.000
Hana Medic Sdn. Bhd [Times Pharmacy],LOT 3-96,"Berjaya Times Square, No. 1, Jalan Imbi",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,55100,Runcit,2020/12/31 00:00:00.000
HANIM RX PHARMACARE [FARMASI TAMAN PEKAKA],No 2,"Jalan Pekaka 1, Taman Pekaka",Nibong Tebal,Seberang Perai Selatan,Pulau Pinang,14300,Runcit,2020/12/31 00:00:00.000
HAPPY PHARMACY,"Ground Floor, Sublot 3, Lot 1921, Block 233, KNLD","Jalan Lapangan Terbang, Off Jalan Penrissen",Kuching,Kuching,Sarawak,93250,Runcit,2020/12/31 00:00:00.000
Happy Pharmacy PLT,"No. 32,","Jalan 1/27B, Desa Setapak",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,53300,Runcit,2020/12/31 00:00:00.000
HAPPY TOWN PHARMACY,"Ground Floor, No. 1, Bau Bazaar, Lot 295",Bau Town District,Kuching,Kuching,Sarawak,94000,Runcit,2020/12/31 00:00:00.000
Harbour Square Pharmacy Sdn Bhd,"Lot45, Block HS-4, Ground Floor, Phase II, Sandakan Harbour Square",Jalan Pryer,Sandakan,Sandakan,Sabah,90000,Borong & Runcit,2020/12/31 00:00:00.000
HARMONI FARMASI KEMAMAN SDN BHD,Lot 5834A Rumah Kedai Kubang Kurus,Taman Bersekutu,Chukai,Kemaman,Terengganu,24000,Runcit,2020/12/31 00:00:00.000
HARMONI FARMASI PAKA SDN BHD [HARMONI FARMASI PAKA SDN BHD],"No 38(PT 217),Pusat Niaga Paka",Jalan Besar Paka,Paka,Dungun,Terengganu,23100,Runcit,2020/12/31 00:00:00.000
HARMONI FARMASI SDN BHD [HARMONI FARMASI SDN BHD],K30,Jalan Baru Pak Sabah,",",Dungun,Terengganu,23000,Borong & Runcit,2020/12/31 00:00:00.000
Hartamas Healthcare Sdn Bhd [AA Pharmacy],28-G (Ground Floor),"Jalan 25/70a, Desa Sri Hartamas",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,50480,Runcit,2020/12/31 00:00:00.000
Harvest Pharmacy Sdn Bhd [Harvest Pharmacy],No 125,Jalan SBC 1 Taman Sri Batu Caves,Batu Caves,Gombak,Selangor,68100,Runcit,2020/12/31 00:00:00.000
Harvest Place Sdn Bhd [Wellness First Pharmacy],45,Jalan Awan Kuala Ampang,Ampang,Hulu Langat,Selangor,68000,Runcit,2020/12/31 00:00:00.000
HASHIM RX CENTRE [FARMASI HASHIM ],"34, JALAN BARU, BATU LIMA",Jalan Baru,Parit Buntar,Kerian,Perak,34200,Runcit,2020/12/31 00:00:00.000
HB PHARMACY,NO 17,"JALAN PEKAN CHANGLUN 3, PEKAN CHANGLUN 2",Changloon,Kubang Pasu,Kedah,06010,Runcit,2020/12/31 00:00:00.000
HCY Pharmacy Sdn Bhd [Multicare Pharmacy],93,Jalan SS 19/6,Subang Jaya,Petaling,Selangor,47500,Runcit,2020/12/31 00:00:00.000
HEALTH CARE PHARM PRODUCT SDN BHD,NO.27,"Jalan Beladau 5, Taman Puteri Wangsa",Ulu Tiram,Johor Bahru,Johor,81800,Runcit,2020/12/31 00:00:00.000
Health Equation (KD) Sdn Bhd	[AA Pharmacy],39-1 & 39-2,Jalan PJU 5/10 Dataran Sunway Kota Damansara,Petaling Jaya,Petaling,Selangor,47810,Runcit,2020/12/31 00:00:00.000
Health Equation Sdn Bhd [AA Pharmacy],No 18 (Ground Floor & M Floor),Jalan SS 2/67,Petaling Jaya,Petaling,Selangor,47300,Runcit,2020/12/31 00:00:00.000
HEALTH LANE FAMILY PHARMACY (SARAWAK) SDN BHD [HEALTH LANE FAMILY PHARMACY],"No. 56, Ground Floor, Tabuan Tranquility Commercial Centre",Jalan Canna,Kuching,Kuching,Sarawak,93350,Runcit,2020/12/31 00:00:00.000
Health Lane Family Pharmacy Sdn Bhd,9-G,Jalan Mutiara Tropicana 3 Mutiara Tropicana PJU 3,Petaling Jaya,Petaling,Selangor,47410,Runcit,2020/12/31 00:00:00.000
Health Lane Family Pharmacy Sdn Bhd,No 65G,Jalan Meranti Jaya 3/1 Taman Meranti Jaya Bandar Bukit Puchong,Puchong,Sepang,Selangor,47100,Runcit,2020/12/31 00:00:00.000
Health Lane Family Pharmacy Sdn Bhd,No 17-1-1,Jalan Setia Prima R U13/R Setia Alam Seksyen U13,Shah Alam,Petaling,Selangor,40170,Runcit,2020/12/31 00:00:00.000
Health Lane Family Pharmacy Sdn Bhd,No. 23,Jalan Bunga Tanjung 6A Taman Putra Selangor,Ampang,Hulu Langat,Selangor,68000,Runcit,2020/12/31 00:00:00.000
Health Lane Family Pharmacy Sdn Bhd,No 17-G,Jalan Cempaka SD 12/1 Bandar Sri Damansara,Kuala Lumpur,Kuala Lumpur,Selangor,52200,Runcit,2020/12/31 00:00:00.000
Health Lane Family Pharmacy Sdn Bhd,"LOT NO G-011, C-G-02","1 Shamelin, 100, Jalan 4/91, Taman Shamelin Perkasa",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,56100,Runcit,2020/12/31 00:00:00.000
HEALTH LANE FAMILY PHARMACY SDN BHD,"2046, TINGKAT BAWAH",Jalan Sentul Pasar,Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,51000,Runcit,2020/12/31 00:00:00.000
Health Lane Family Pharmacy Sdn Bhd,33G,"Jalan Setiawangsa 11A, Taman Setiawangsa",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,54200,Runcit,2020/12/31 00:00:00.000
Health Lane Family Pharmacy Sdn Bhd,No 11,Jalan 11 Desa Jaya,Kepong,Gombak,Selangor,52100,Runcit,2020/12/31 00:00:00.000
Health Lane Family Pharmacy Sdn Bhd,NO. 23,"Jalan 3/125D, Desa Petaling",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,57100,Runcit,2020/12/31 00:00:00.000
Health Lane Family Pharmacy Sdn Bhd,No 8A,Jalan TK 1/11A Taman Kinrara,Puchong,Petaling,Selangor,47100,Runcit,2020/12/31 00:00:00.000
HEALTH LANE FAMILY PHARMACY SDN BHD,G-07,"Kompleks Mutiara, Jalan Ipoh",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,51200,Runcit,2020/12/31 00:00:00.000
HEALTH LANE FAMILY PHARMACY SDN BHD,8,"Jalan 7/108C, Taman Sungai Besi",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,57100,Runcit,2020/12/31 00:00:00.000
Health Lane Family Pharmacy Sdn Bhd,G-10,"Jalan 1A/6, Taman Setapak Indah",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,53300,Runcit,2020/12/31 00:00:00.000
Health Lane Family Pharmacy Sdn Bhd,NO. 281 TINGKAT BAWAH,"Jalan Mahkota, Taman Maluri, Cheras",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,55100,Runcit,2020/12/31 00:00:00.000
Health Lane Family Pharmacy Sdn Bhd,NO. 13,"Jalan Prima Setapak 3, Taman Prima Setapak, Off Jalan Genting Klang, Setapak",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,53300,Runcit,2020/12/31 00:00:00.000
Health Lane Family Pharmacy Sdn Bhd,No 248,Jalan Besar/KU13 Pekan Kapar,Kapar,Klang,Selangor,42200,Runcit,2020/12/31 00:00:00.000
Health Lane Family Pharmacy Sdn Bhd,"43-0-10, ","Jalan 1/48A, Sentul Perdana, Bandar Baru Sentul",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,51000,Runcit,2020/12/31 00:00:00.000
Health Lane Family Pharmacy Sdn Bhd,"No. 29,","Jalan 14/27B, Desa Setapak",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,53300,Runcit,2020/12/31 00:00:00.000
Health Lane Family Pharmacy Sdn Bhd,"5, Tingkat Bawah","Jalan Burung Jentayu, Taman Bukit Maluri, Kepong",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,52100,Runcit,2020/12/31 00:00:00.000
Health Lane Family Pharmacy Sdn Bhd,3419,"Jalan Theatre, Jinjang Utara",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,52000,Runcit,2020/12/31 00:00:00.000
HEALTH LANE FAMILY PHARMACY SDN BHD,NO 87G,"Vila Shoplex, Pudu Impian III, Jalan Pudu Ulu",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,56100,Runcit,2020/12/31 00:00:00.000
HEALTH LANE FAMILY PHARMACY SDN BHD,No. 109,"Jalan 34/154,Taman Dahlia,Batu 9,Cheras",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,56000,Runcit,2020/12/31 00:00:00.000
HEALTH LANE FAMILY PHARMACY SDN BHD,"NO. 52, TINGKAT BAWAH","Jalan Sembilang, Taman Tenaga",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,56000,Runcit,2020/12/31 00:00:00.000
Health Lane Family Pharmacy Sdn Bhd,"Prima 4C, Block 3513",Jalan Teknokrat 5 Cyber 5,Cyberjaya,Sepang,Selangor,63000,Runcit,2020/12/31 00:00:00.000
HEALTH LANE FAMILY PHARMACY SDN BHD,11G,"Jalan Setiawangsa 9, Taman Setiawangsa",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,54200,Runcit,2020/12/31 00:00:00.000
HEALTH LANE FAMILY PHARMACY SDN BHD,Health Lane @ Aeon Big Mid Valley Megamall AT1,"Mid Valley Megamall, Mid Valley City",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,58000,Runcit,2020/12/31 00:00:00.000
Health Lane Family Pharmacy Sdn Bhd,163,"Jalan Sarjana, Taman Connaught, Cheras",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,56000,Runcit,2020/12/31 00:00:00.000
Health Lane Family Pharmacy Sdn Bhd,"Lot No 11, Ground Floor",Jalan Bestari 9/KS9 Bandar Bestari,Klang,Klang,Selangor,41200,Runcit,2020/12/31 00:00:00.000
HEALTH LANE FAMILY PHARMACY SDN BHD,no. 9,"Jalan KJ 1, Taman Krubong Jaya",Melaka,Melaka Tengah,Melaka,75250,Runcit,2020/12/31 00:00:00.000
Health Lane Family Pharmacy Sdn Bhd,"Lot 34, Ground Floor, Tesco Ampang PT8880",Jalan Pandan Prima Dataran Pandan Prima,Ampang,Hulu Langat,Selangor,55100,Runcit,2020/12/31 00:00:00.000
Health Lane Family Pharmacy Sdn Bhd [Health Lane Family Pharmacy],No 10-G Ground Floor Prima Samudera,Jalan Samudera Utara 11,Batu Caves,Gombak,Selangor,68100,Runcit,2020/12/31 00:00:00.000
HEALTH LANE FAMILY PHARMACY SDN BHD [HEALTH LANE FAMILY PHARMACY],760 & 762,"Wisma Health Lane, Jalan Sentul",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,51000,Borong & Runcit,2020/12/31 00:00:00.000
Health Lane Family Pharmacy Sdn Bhd [Health Lane Family Pharmacy],No 53,Jalan Negara Taman Melawati,Kuala Lumpur,Kuala Lumpur,Selangor,53100,Runcit,2020/12/31 00:00:00.000
Health Lane Family Pharmacy Sdn Bhd [Health Lane Family Pharmacy],L-011 Vista Shop,Jalan PJU 10/2A Damansara Damai,Petaling Jaya,Petaling,Selangor,47830,Runcit,2020/12/31 00:00:00.000
Health Lane Family Pharmacy Sdn Bhd [Health Lane Family Pharmacy],No 11,Lorong Dato Yusof Shahbudin 29A Taman Sentosa,Klang,Klang,Selangor,41200,Runcit,2020/12/31 00:00:00.000
Health Lane Family Pharmacy Sdn Bhd [Health Lane Family Pharmacy],No 9,Jalan Kati E U19/E Taman Medan Mas Kg Baru Sg Buloh Seksyen U19,Shah Alam,Petaling,Selangor,40160,Runcit,2020/12/31 00:00:00.000
Health Lane Family Pharmacy Sdn Bhd [Health Lane Family Pharmacy],No 16,"Jalan 2/16, Bandar Baru Selayang",Batu Caves,Gombak,Selangor,68100,Runcit,2020/12/31 00:00:00.000
Health Lane Family Pharmacy Sdn Bhd [Health Lane Family Pharmacy],20,Jalan Damai Utama 2 Taman Damai Utama,Puchong,Petaling,Selangor,47100,Runcit,2020/12/31 00:00:00.000
HEALTH LANE FAMILY PHARMACY SDN BHD [HEALTH LANE FAMILY PHARMACY],"LOT 16, TINGKAT BAWAH","Medan Mega Melati, Jalan Madrasah (Jalan 1/22A), Taman Melati",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,53100,Runcit,2020/12/31 00:00:00.000
HEALTH LANE FAMILY PHARMACY SDN BHD [HEALTH LANE FAMILY PHARMACY],"L1-02, TINGKAT 1","AEON Big Kepong, Jalan Metro Perdana, Taman Usahawan Kepong",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,52100,Runcit,2020/12/31 00:00:00.000
Health Lane Family Pharmacy Sdn Bhd [Health Lane Family Pharmacy],D-G-37,"Jalan PJU 1A/20B Dataran Ara Damansara, Ara Damansara",Petaling Jaya,Petaling,Selangor,47301,Runcit,2020/12/31 00:00:00.000
Health Lane Family Pharmacy Sdn Bhd [Health Lane Family Pharmacy],No 1,Jalan BRP 6/12 Bukit Rahman Putra,Sungai Buloh,Petaling,Selangor,40160,Runcit,2020/12/31 00:00:00.000
Health Lane Family Pharmacy Sdn Bhd [Health Lane Family Pharmacy],"Aeon Big Klang, No.2",Jalan Harmoni 3/KU 3 Sungai Pinang,Klang,Klang,Selangor,41400,Runcit,2020/12/31 00:00:00.000
Health Lane Family Pharmacy Sdn Bhd [Health Lane Family Pharmacy],G32 Ground Floor Axis Atrium Pandan Indah,Taman Cempaka,Ampang,Hulu Langat,Selangor,68000,Runcit,2020/12/31 00:00:00.000
Health Lane Family Pharmacy Sdn Bhd [Health Lane Family Pharmacy],No 43-1,Jalan SP 2/1 Taman Serdang Perdana,Seri Kembangan,Hulu Langat,Selangor,43300,Runcit,2020/12/31 00:00:00.000
HEALTH LANE FAMILY PHARMACY SDN BHD [HEALTH LANE FAMILY PHARMACY],No. 3-G,"Jalan Tasik Utama 6, Medan Niaga Tasik Damai Sg Besi",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,57000,Runcit,2020/12/31 00:00:00.000
Health Lane Family Pharmacy Sdn Bhd [Health Lane Family Pharmacy],"Lot 2104, Tingkat G",Jalan 3/1 Bandar Baru Sungai Buloh Seksyen U20,Shah Alam,Petaling,Selangor,40160,Runcit,2020/12/31 00:00:00.000
Health Lane Family Pharmacy Sdn Bhd [Health Lane Family Pharmacy],"L8-G-INT, Ardence Labs Management Office @ Eco Ardence, PT8",Persiaran Setia Alam Eco Ardence Seksyen U13,Shah Alam,Petaling,Selangor,40170,Runcit,2020/12/31 00:00:00.000
Health Lane Family Pharmacy Sdn Bhd [Health Lane Family Pharmacy],No 290,Persiaran Pegaga Taman Bayu Perdana,Klang,Klang,Selangor,41200,Runcit,2020/12/31 00:00:00.000
Health Lane Family Pharmacy Sdn Bhd [Health Lane Family Pharmacy],No. 22G,Jalan Equine 1B Taman Equine,Seri Kembangan,Hulu Langat,Selangor,43300,Runcit,2020/12/31 00:00:00.000
HEALTH LANE FAMILY PHARMACY SDN BHD [HEALTH LANE FAMILY PHARMACY],8,"Jalan 7/108C, Taman Sungai Besi",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,57100,Runcit,2020/12/31 00:00:00.000
Health Lane Family Pharmacy Sdn Bhd [Health Lane Family Pharmacy],35,Jalan Anggerik Vanilla X 31/X Kota Kemuning Seksyen 31,Shah Alam,Petaling,Selangor,40460,Runcit,2020/12/31 00:00:00.000
HEALTH LANE FAMILY PHARMACY SDN BHD [HEALTH LANE FAMILY PHARMACY],Lot G131 Ground Floor,"Bangsar Shopping Centre, 285, Jalan Maarof",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,59000,Runcit,2020/12/31 00:00:00.000
HEALTH LANE FAMILY PHARMACY SDN BHD [HEALTH LANE FAMILY PHARMACY],"Lot-LG 220, lower ground floor","The Gardens, Mid Valley City",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,59200,Runcit,2020/12/31 00:00:00.000
HEALTH LANE FAMILY PHARMACY SDN BHD [HEALTH LANE FAMILY PHARMACY],Lot LG 23,"Wangsa Walk Mall, Wangsa Avenue, No. 9, Jalan Wangsa Perdana 1, Bandar Wangsa Maju",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,53300,Runcit,2020/12/31 00:00:00.000
HEALTH LANE FAMILY PHARMACY SDN BHD [HEALTH LANE FAMILY PHARMACY],No. 16,"Jalan 1/76D, Desa Pandan, Off Jalan Kampung Pandan",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,55100,Runcit,2020/12/31 00:00:00.000
HEALTH LANE FAMILY PHARMACY SDN BHD [HEALTH LANE FAMILY PHARMACY],Lot LG-03,"Nu Sentral Shopping Centre, No 201, Jalan Tun Sambanthan",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,50470,Runcit,2020/12/31 00:00:00.000
HEALTH LANE FAMILY PHARMACY SDN BHD [HEALTH LANE FAMILY PHARMACY],"Lot C43 B&E, Concourse Floor","Suria KLCC, Kuala Lumpur City Centre",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,50088,Runcit,2020/12/31 00:00:00.000
HEALTH LANE FAMILY PHARMACY SDN BHD [HEALTH LANE FAMILY PHARMACY],"Lot No. 1F-08, tingkat 1","Hock Choon Building, 241-1, Jalan Ampang",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,50450,Runcit,2020/12/31 00:00:00.000
Health Lane Family Pharmacy Sdn Bhd [Health Lane Family Pharmacy],No 14,"Lorong Kolam Air Lama 1, Ampang Jaya",Ampang,Hulu Langat,Selangor,68000,Runcit,2020/12/31 00:00:00.000
Health Lane Family Pharmacy Sdn Bhd [Health Lane Family Pharmacy],"01-13 & 01-13A, Sanctuary Mall",Jalan Eco Sanctuary 8/3 Eco Sanctuary,Telok Panglima Garang,Kuala Langat,Selangor,42500,Runcit,2020/12/31 00:00:00.000
Health Lane Family Pharmacy Sdn Bhd [Health Lane Family Pharmacy],64,Jalan BPU 1 Bandar Puchong Utama,Puchong,Petaling,Selangor,47100,Runcit,2020/12/31 00:00:00.000
Health Lane Family Pharmacy Sdn Bhd [Health Lane Family Pharmacy],No 26,Jalan KP 1/1 Taman Kajang Prima,Kajang,Hulu Langat,Selangor,43000,Runcit,2020/12/31 00:00:00.000
Health Lane Family Pharmacy Sdn Bhd [Health Lane Family Pharmacy],"No 7, Tingkat G",Jalan U1/34 Glenmarie Seksyen U1,Shah Alam,Petaling,Selangor,40150,Runcit,2020/12/31 00:00:00.000
Health Lane Family Pharmacy Sdn Bhd [Health Lane Family Pharmacy],No 31,Jalan SL 1/4 Bandar Sg. Long Cheras,Kajang,Hulu Langat,Selangor,43200,Runcit,2020/12/31 00:00:00.000
HEALTH LANE FAMILY PHARMACY SDN BHD [HEALTH LANE FAMILY PHARMACY],Health Lane@ Aeon Big Wangsa Maju,"Jalan 8/27a, Wangsa Maju",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,53300,Runcit,2020/12/31 00:00:00.000
Health Lane Family Pharmacy Sdn Bhd [Health Lane Family Pharmacy],No. 12,Jalan Pasar,Semenyih,Hulu Langat,Selangor,43500,Runcit,2020/12/31 00:00:00.000
